repoName,repoLink,repoDescription,repoAuthor,repoAuthorLink,isInactive,isArchived,stars
"Kanary","https://github.com/SeunAdelekan/Kanary","A minimalist🔬 Kotlin web framework for building🔩⚙ scalable📈 and expressive🎨 RESTful APIs.","@IyanuAdelekan","https://twitter.com/IyanuAdelekan","","",328
"Alix","https://github.com/ireade/alix","Alix, a Chrome extension for a11y.css.","@ireaderinokun","https://twitter.com/ireaderinokun",true,"",325
"Inlinetweetjs","https://github.com/ireade/inlinetweetjs","InlineTweet.js allows you to easily create tweetable links out of any text on a webpage.","@ireaderinokun","https://twitter.com/ireaderinokun",true,"",314
"Gophie","https://github.com/Go-phie/gophie","A CLI written in golang for scraping movie download links and bypassing ads.","@GophieTeam","https://twitter.com/GophieTeam","","",305
"Grabity","https://github.com/e-oj/grabity","Get preview data from a link.","@e-oj","https://github.com/e-oj",true,"",291
"eth-vue","https://github.com/DOkwufulueze/eth-vue","A Vue.js boilerplate for Ethereum Apps, built on Truffle. Authentication functionalities included.","@DOkwufulueze","https://twitter.com/DOkwufulueze","","",243
"Video-Call-App","https://github.com/amirsanni/Video-Call-App","A text, audio and video chat application built with webRTC and Ratchet (PHP WebSockets).","@amirsanni","https://twitter.com/amirsanni","","",231
"Icicle","https://github.com/segunfamisa/icicle","An annotation based tool for saving and restoring instance states.","@segunfamisa","https://twitter.com/segunfamisa",true,"",226
"R3con1z3r","https://github.com/abdulgaphy/r3con1z3r","A lightweight Web information gathering tool with an intuitive features written in python. it provides a powerful environment in which open source intelligence (OSINT) web-based footprinting can be conducted quickly and thoroughly.","@mrgaphy","https://twitter.com/mrgaphy",true,"",225
"Article Idea Generator","https://github.com/Olanetsoft/article-idea-generator","This simple tool generates article ideas and abstract drafts for your blog or website. It's a great way to get started with your content marketing strategy.","@olanetsoft","https://twitter.com/olanetsoft","","",208
"Laravel Emoji","https://github.com/unicodeveloper/laravel-emoji","Laravel 5 Package that harnesses the power of PHP 7 Unicode features to provide emojis in your laravel app.","@unicodeveloper","https://twitter.com/unicodeveloper",true,"",208
"caddy-git","https://github.com/abiosoft/caddy-git","Git plugin for Caddy web server.","@abiosoft","https://twitter.com/abiosoft",true,"",204
"Toast.js","https://github.com/ireade/Toast.js","A library for Toast messages. v","@ireaderinokun","https://twitter.com/ireaderinokun","","",194
"Laravel Identify","https://github.com/unicodeveloper/laravel-identify","Laravel 5 Package to Detect Users' Browsers, Devices, Languages and Operating Systems.","@unicodeveloper","https://twitter.com/unicodeveloper",true,"",191
"Early Access","https://github.com/neoighodaro/laravel-early-access","This package makes it easy to add early access mode to your existing application.","@neoighodaro","https://twitter.com/neoighodaro","","",179
"Laravel Exam","https://github.com/unicodeveloper/laravel-exam","A Laravel exam with questions from beginner to expert curated.","@unicodeveloper","https://twitter.com/unicodeveloper",true,"",178
"ip-num","https://github.com/ip-num/ip-num","ip-num is a TypeScript library for working with IP Resources(ASN, IPV4, IPV6).","@dadepo","https://twitter.com/dadepo","","",169
"react-autocomplete-hint","https://github.com/ejmudi/react-autocomplete-hint","A React component for Autocomplete Hint.","@ejmudi","https://twitter.com/ejmudi","","",164
"BàngáJS","https://github.com/bangajs/banga-cli","A CLI generator for bootstrapping ExpressJS applications and generating application layer files.","@saucecodee","https://twitter.com/saucecodee","","",157
"Gulp-Email-Workflow","https://github.com/ireade/gulp-email-workflow","A Gulp workflow for building HTML emails.","@ireaderinokun","https://twitter.com/ireaderinokun",true,"",157
"React Native paystack webview","https://github.com/just1and0/React-Native-Paystack-WebView","React Native paystack sdk.","@just1and0","https://twitter.com/just1and0","","",157
"Datasist","https://github.com/risenW/datasist","Python library for easy data analysis, visualization, exploration and modeling.","@risingodegua","https://twitter.com/risingodegua","","",156
"Orchestra","https://github.com/stephenafamo/orchestra","Orchestra is a library to manage long running go processes.","@stephenafamo","https://twitter.com/stephenafamo","","",152
"Blackmaria","https://github.com/Smyja/blackmaria","A Python package for webscraping in Natural language.","@ogbonigwe1","https://twitter.com/ogbonigwe1","","",151
"SlidingSquaresLoader","https://github.com/biodunalfet/SlidingSquaresLoader","A simple progress loader.","@biodunalfet","https://twitter.com/biodunalfet",true,"",149
"Paystack wrapper","https://github.com/kehers/paystack","Nodejs API wrapper for Paystack.","@kehers","https://twitter.com/kehers",true,"",148
"Face-detector","https://github.com/moyheen/face-detector","An application containing all the code from the article on the FaceDetector API.","@moyheen","https://twitter.com/moyheen",true,"",139
"Dockward","https://github.com/abiosoft/dockward","Port forwarding tool for Docker containers.","@abiosoft","https://twitter.com/abiosoft",true,"",137
"stacks","https://github.com/nerdeveloper/stacks","A tool for setting up your stack quickly for Local development, on-prem and Bare metal servers.","@nerdeveloper","https://github.com/nerdeveloper","","",135
"ExpressWebJs","https://github.com/Alexigbokwe/ExpressWebJs","ExpressWebJs is a NodeJS FrameWork with expressive and organised syntax that runs on all major operating systems. It provides the starting point for creating your node project, allowing you to focus more on developing your amazing solution.","@EmekaIgbokwe","https://twitter.com/emekaigbokwe","","",134
"Vue Simple ACL","https://github.com/victorybiz/vue-simple-acl","A simple unopinionated Vue plugin for managing user roles and permissions, access-control list (ACL) and role-based access control (RBAC).","@victoryosayi","https://twitter.com/victoryosayi","","",134
"Laravel Simple Select","https://github.com/victorybiz/laravel-simple-select","Laravel Simple Select inputs component for Blade and Livewire.","@victoryosayi","https://twitter.com/victoryosayi","","",131
"Nojs","https://github.com/ifedapoolarewaju/nojs","Library that helps minimize js you have to write.","@ifedapolarewaju","https://twitter.com/ifedapolarewaju","","",131
"Ratio","https://github.com/theratioproject/simple","The Simple Intelligent and Modular Programming Language and Environment.","@iamthecarisma","https://www.twitter.com/iamthecarisma","",true,126
"Goldmark PDF","https://github.com/stephenafamo/goldmark-pdf","A PDF renderer for the Go goldmark markdown parser.","@stephenafamo","https://twitter.com/stephenafamo","","",123
"Keygen","https://github.com/gladchinda/keygen-php","A fluent PHP random key generator.","@gladchinda","https://twitter.com/gladchinda",true,"",118
